Industry,Location,Job Openings (2024),Projected Openings (2030),Openings_Abs_Change,Automation Risk (%),Median Salary (USD),Job_Count,Openings_Pct_Change
Education,Australia,2401754,2345349,-56405,47.41,88596.08,462,-2.35
Education,Brazil,2485596,2524169,38573,40.97,88431.21,486,1.55
Education,Canada,2398442,2376355,-22087,43.29,89088.02,468,-0.92
Education,China,2417526,2359242,-58284,41.57,89889.05,468,-2.41
Education,Germany,2202466,2248851,46385,44.16,87439.09,439,2.11
Education,India,2142735,2177363,34628,43.53,89955.33,444,1.62
Education,UK,2412442,2379279,-33163,42.11,88525.17,488,-1.37
Education,USA,2286761,2244204,-42557,43.05,89086.06,459,-1.86
Entertainment,Australia,2626314,2599535,-26779,42.42,91621.8,512,-1.02
Entertainment,Brazil,2428763,2398113,-30650,43.49,90008.16,472,-1.26
Entertainment,Canada,2514933,2620343,105410,43.65,90907.9,508,4.19
Entertainment,China,2383578,2363851,-19727,43.6,90135.47,454,-0.83
Entertainment,Germany,2356542,2474276,117734,42.2,91587.61,479,5.0
Entertainment,India,2393837,2622899,229062,42.09,91692.41,493,9.57
Entertainment,UK,2469309,2452077,-17232,43.85,90823.01,485,-0.7
Entertainment,USA,2481752,2510484,28732,45.2,89449.29,492,1.16
Finance,Australia,2304025,2304404,379,42.04,110454.2,452,0.02
Finance,Brazil,2377045,2332196,-44849,40.58,111296.39,457,-1.89
Finance,Canada,2337727,2458186,120459,42.17,109412.46,468,5.15
Finance,China,2099615,2192061,92446,40.15,109130.93,431,4.4
Finance,Germany,2648575,2469736,-178839,41.93,109332.53,506,-6.75
Finance,India,2383351,2370735,-12616,42.3,109986.65,483,-0.53
Finance,UK,2365795,2398668,32873,40.44,111632.9,484,1.39
Finance,USA,2210123,2239452,29329,41.29,109427.26,440,1.33
Healthcare,Australia,2257156,2544071,286915,41.1,94434.29,481,12.71
Healthcare,Brazil,2254808,2304292,49484,43.11,93747.49,441,2.19
Healthcare,Canada,2624453,2538636,-85817,43.16,93336.44,511,-3.27
Healthcare,China,2450780,2473168,22388,44.02,94747.17,477,0.91
Healthcare,Germany,2347191,2253270,-93921,44.47,93858.61,459,-4.0
Healthcare,India,2208520,2354158,145638,42.95,94002.07,444,6.59
Healthcare,UK,2364373,2373329,8956,41.91,94590.36,459,0.38
Healthcare,USA,2504269,2573949,69680,42.99,94107.15,499,2.78
IT,Australia,2341865,2366325,24460,39.7,114061.7,463,1.04
IT,Brazil,2249076,2313654,64578,39.88,112485.77,450,2.87
IT,Canada,2334218,2480323,146105,41.89,111197.14,476,6.26
IT,China,2200118,2311987,111869,40.59,111030.16,446,5.08
IT,Germany,2309752,2383706,73954,40.41,112023.19,469,3.2
IT,India,2293024,2343598,50574,38.52,114490.5,462,2.21
IT,UK,2465006,2491794,26788,39.38,112834.6,489,1.09
IT,USA,2126747,2140243,13496,39.06,111461.6,426,0.63
Manufacturing,Australia,2310552,2389976,79424,41.84,93212.74,485,3.44
Manufacturing,Brazil,2631984,2504010,-127974,45.07,90995.11,496,-4.86
Manufacturing,Canada,2386091,2373475,-12616,40.43,92891.03,476,-0.53
Manufacturing,China,2556380,2621291,64911,40.24,92605.52,509,2.54
Manufacturing,Germany,2393065,2344297,-48768,43.31,92503.24,468,-2.04
Manufacturing,India,2421330,2441075,19745,43.94,91572.74,473,0.82
Manufacturing,UK,2399142,2378681,-20461,41.52,92949.38,465,-0.85
Manufacturing,USA,2494310,2552523,58213,42.42,92678.67,483,2.33
Retail,Australia,2247726,2383332,135606,43.47,86004.78,464,6.03
Retail,Brazil,2407931,2350666,-57265,42.93,86745.21,469,-2.38
Retail,Canada,2260177,2185117,-75060,42.45,86476.01,454,-3.32
Retail,China,2346974,2512924,165950,44.16,87751.92,503,7.07
Retail,Germany,2214191,2291934,77743,42.45,86319.19,440,3.51
Retail,India,2322407,2265704,-56703,43.3,87161.9,459,-2.44
Retail,UK,2269850,2321879,52029,46.56,85644.34,457,2.29
Retail,USA,2285633,2264510,-21123,45.22,86918.86,456,-0.92
Transportation,Australia,2359232,2418551,59319,44.12,85203.42,483,2.51
Transportation,Brazil,2236053,2324618,88565,44.72,85734.38,457,3.96
Transportation,Canada,2146186,2025621,-120565,46.1,84238.66,414,-5.62
Transportation,China,2459320,2279990,-179330,45.57,85131.63,475,-7.29
Transportation,Germany,2484530,2449692,-34838,42.35,85799.1,481,-1.4
Transportation,India,2409592,2206018,-203574,44.09,83829.14,436,-8.45
Transportation,UK,2297907,2299407,1500,47.29,83971.0,457,0.07
Transportation,USA,2388300,2332921,-55379,45.73,85069.24,458,-2.32
