,Automation Risk (%),Automation Risk (%),Automation Risk (%),Automation Risk (%),Median Salary (USD),Median Salary (USD),Median Salary (USD),Median Salary (USD),Risk_CV,Salary_CV
,mean,std,min,max,mean,std,min,max,,
Industry,,,,,,,,,,
Education,43.23,28.72,0.0,100.0,88876.4,14814.04,50000.0,128274.25,0.664,0.167
Entertainment,43.31,28.59,0.0,100.0,90790.75,14188.0,50000.0,129950.86,0.66,0.156
Finance,41.38,27.95,0.0,99.56,110092.0,16676.99,66192.38,163669.45,0.675,0.151
Healthcare,42.96,29.03,0.0,100.0,94099.53,13986.9,55962.1,130999.18,0.676,0.149
IT,39.94,28.09,0.0,97.81,112461.48,16730.46,70932.84,168733.53,0.703,0.149
Manufacturing,42.34,28.7,0.0,100.0,92421.47,14316.19,51941.39,145074.96,0.678,0.155
Retail,43.82,28.28,0.0,100.0,86642.7,14876.91,50000.0,129771.49,0.645,0.172
Transportation,44.97,28.15,0.0,100.0,84895.25,14669.82,50000.0,132279.76,0.626,0.173
