Feature,LR_Abs_Coef,RF_Importance,LR_Normalized,RF_Normalized,Avg_Importance
Industry_Avg_Salary,9460.171873888798,0.3083080044767337,0.9999999999999999,1.0,1.0
Experience Required (Years),7982.542355374236,0.24148274406912418,0.8428460704147496,0.782600381643744,0.8127232260292467
Automation Risk (%),5042.0276595001005,0.14858692929938103,0.5301063520553374,0.4803865996898779,0.5052464758726076
Education_Score,2896.975630142197,0.1286394535250051,0.3019684112829474,0.4154923726555426,0.358730391969245
Education_x_Industry_Avg,711.1411311512366,0.12349779519099727,0.06949303322961484,0.39876524652519263,0.23412913987740375
Risk_Score,1067.5531241320882,0.0009235623472082505,0.1073993856315072,0.0,0.0536996928157536
AI_Impact_Score,753.6275069689535,0.005130613923649128,0.074011690193305,0.013686611942019214,0.04384915106766211
Experience_x_Risk,396.75537564845666,0.011028386723080551,0.036056399578334196,0.032873571303307335,0.034464985440820765
Remote Work Ratio (%),100.93086162412945,0.012520854441002488,0.004593854830780896,0.03772894949871074,0.021161402164745817
Job_Growth_Pct,57.73744279173357,0.01212925497980875,0.0,0.03645497655954446,0.01822748827977223
Experience_Tier,336.50628347431166,0.0019995054155647197,0.029648581197290167,0.00350031726037419,0.016574449228832177
Location_Avg_Salary,102.8120846493002,0.005752895608444916,0.004793933123158975,0.01571105299858242,0.010252493060870699
