Feature,Coefficient,Abs_Coefficient
Industry_Avg_Salary,9460.171873888798,9460.171873888798
Experience Required (Years),7982.542355374236,7982.542355374236
Automation Risk (%),-5042.0276595001005,5042.0276595001005
Education_Score,2896.975630142197,2896.975630142197
Risk_Score,-1067.5531241320882,1067.5531241320882
AI_Impact_Score,-753.6275069689535,753.6275069689535
Education_x_Industry_Avg,-711.1411311512366,711.1411311512366
Experience_x_Risk,-396.75537564845666,396.75537564845666
Experience_Tier,336.50628347431166,336.50628347431166
Location_Avg_Salary,102.8120846493002,102.8120846493002
Remote Work Ratio (%),100.93086162412945,100.93086162412945
Job_Growth_Pct,57.73744279173357,57.73744279173357
